,Lan chay,Begin,End,Time (s),Fitness,W01 (um),L01 (um),C01 (um)
69,70,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
70,71,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
71,72,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
72,73,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
73,74,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
74,75,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
75,76,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
76,77,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
77,78,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
78,79,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
79,80,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
80,81,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
81,82,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
82,83,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
83,84,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
84,85,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
85,86,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
86,87,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
87,88,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
88,89,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
89,90,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
90,91,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
91,92,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
92,93,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
93,94,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
94,95,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
95,96,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
96,97,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
97,98,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
98,99,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
99,100,23:59:35,23:59:35,0.0,2.660407613145418,1.4304076131454184,0.23,1.0
